x = 1,res = 5
x = 2,res = 8
x = 3,res = 31
x = 4,res = 260
x = 5,res = 3129
x = 6,res = 46660
x = 7,res = 823547
x = 8,res = 16777220
x = 9,res = 387420493
x = 10,res = 10000000004
x = 11,res = 285311670615
x = 12,res = 8916100448260
x = 13,res = 302875106592257
x = 14,res = 11112006825558020
x = 15,res = 437893890380859379
x = 16,res = 18446744073709551620
x = 17,res = 827240261886336764181
x = 18,res = 39346408075296537575428
x = 19,res = 1978419655660313589123983
x = 20,res = 104857600000000000000000004
